"dpto","coddepto","mpio","codmpio","codigo","LAT_CIU_NAC","LON_CIU_NAC","n"
"ARAUCA","81","ARAUCA","001","81-001","7.0777365019699996","-70.762773048","233"
"SANTANDER","68","SANTA BARBARA","705","68-705",NA,NA,"0"
"ANTIOQUIA","05","SABANALARGA","628","05-628","10.633833411099999","-74.920625124400004","7"
"ARAUCA","81","SARAVENA","736","81-736","6.95387794066","-71.873949477799997","48"
"ARAUCA","81","ARAUQUITA","065","81-065","7.02931365346","-71.4276395909","25"
"SANTANDER","68","GUACA","318","68-318","6.8768722814599998","-72.856084429500001","2"
"ANTIOQUIA","05","URAMITA","842","05-842","6.8935930229400002","-76.170410535599999","2"
"BOYACA","15","CUBARA","223","15-223","7.0037332728599999","-72.106029804499997","3"
"ANTIOQUIA","05","MURINDO","475","05-475","6.9769671666899997","-76.819986521199993","3"
"ANTIOQUIA","05","SAN ANDRES DE CUERQUIA","647","05-647","6.9236096390800004","-75.672773119699997","7"
"ANTIOQUIA","05","CAÑASGORDAS","138","05-138","6.75976724617","-76.0302047407","12"
"SANTANDER","68","CERRITO","162","68-162","6.8431176162499998","-72.694727692100003","1"
"SANTANDER","68","ZAPATOCA","895","68-895","6.8138440669099998","-73.270855505900002","2"
"ANTIOQUIA","05","BURITICA","113","05-113","6.7198842194199999","-75.906264110199999","4"
"ANTIOQUIA","05","VEGACHI","858","05-858","6.7671621993100004","-74.793251760700002","5"
"ANTIOQUIA","05","ANGOSTURA","038","05-038","6.8853661929400003","-75.334947988799996","9"
"ANTIOQUIA","05","GUADALUPE","315","05-315","2.0229734854800001","-75.759038641800004","8"
"SANTANDER","68","SIMACOTA","745","68-745","6.4434722366899999","-73.337409333300002","2"
"SANTANDER","68","SAN ANDRES","669","68-669","12.582988417899999","-81.696041480600002","4"
"ANTIOQUIA","05","FRONTINO","284","05-284","6.7755850143199998","-76.131223396899998","19"
"ANTIOQUIA","05","SAN JOSE DE LA MONTAÑA","658","05-658","6.8497412067200001","-75.684082190599995","2"
"ANTIOQUIA","05","GOMEZ PLATA","310","05-310","6.6841194477399997","-75.221755554400005","20"
"SANTANDER","68","CONCEPCION","207","68-207","6.3939760788899997","-75.256527061","4"
"SANTANDER","68","LOS SANTOS","418","68-418",NA,NA,"0"
"CHOCO","27","BOJAYA","099","27-099","6.5663886203099997","-76.892502216599993","2"
"SANTANDER","68","EL CARMEN DE CHUCURI","235","68-235","6.6979116047699998","-73.513123706800002","1"
"ANTIOQUIA","05","SANTA ROSA DE OSOS","686","05-686","6.6451724959699998","-75.460079680000007","35"
"SANTANDER","68","PUERTO PARRA","573","68-573",NA,NA,"0"
"ARAUCA","81","FORTUL","300","81-300","6.7992559028399997","-71.767860744499998","5"
"ANTIOQUIA","05","VIGIA DEL FUERTE","873","05-873","6.4633534342817001","-76.707782633428593","9"
"BOYACA","15","CHISCAS","180","15-180","6.5534916425400001","-72.500293153399994","4"
"ANTIOQUIA","05","CAROLINA","150","05-150","6.7259943524799999","-75.283599938099997","7"
"ANTIOQUIA","05","YOLOMBO","890","05-890","6.5946885816699998","-75.013528798500005","21"
"SANTANDER","68","ARATOCA","051","68-051",NA,NA,"0"
"CHOCO","27","BAHIA SOLANO","075","27-075","6.2244703848","-77.403773096400002","6"
"SANTANDER","68","CEPITA","160","68-160",NA,NA,"0"
"ANTIOQUIA","05","LIBORINA","411","05-411","6.6763586891999998","-75.813675962700003","3"
"ANTIOQUIA","05","BELMIRA","086","05-086","6.6061759441400003","-75.668214863399996","4"
"ANTIOQUIA","05","YALI","885","05-885","6.6682525799799999","-74.841174757100006","13"
"SANTANDER","68","GALAN","296","68-296",NA,NA,"0"
"SANTANDER","68","MALAGA","432","68-432","6.7021775212000003","-72.732133305999994","57"
