"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"ANTIOQUIA","COPACABANA","05-212","6.35822753091","-75.5024226761"
"ANTIOQUIA","BELLO","05-088","6.33378556247","-75.5544475761"
"ANTIOQUIA","EBEJICO","05-240","6.327259705","-75.7668777263"
"SANTANDER","PALMAS DEL SOCORRO","68-524",NA,NA
"ANTIOQUIA","ANZA","05-044","6.30223046843","-75.853713332"
"ANTIOQUIA","ALEJANDRIA","05-021","6.37447380153","-75.1430974124"
"BOYACA","EL COCUY","15-244","6.41037802779","-72.4454127648"
"ANTIOQUIA","SAN RAFAEL","05-667","6.29394973638","-75.0282495206"
"SANTANDER","CONFINES","68-209",NA,NA
"SANTANDER","OCAMONTE","68-498",NA,NA
"ANTIOQUIA","MEDELLIN","05-001","6.24894080956","-75.5770556256"
"ANTIOQUIA","SAN VICENTE FERRER","05-674","6.27940487148","-75.3347960432"
"SANTANDER","COROMORO","68-217",NA,NA
"SANTANDER","CONTRATACION","68-211","6.29046114389","-73.4743899923"
"SANTANDER","LA PAZ","68-397","10.3864677933","-73.1726913052"
"SANTANDER","CHARALA","68-167","6.28533512166","-73.1466694378"
"BOYACA","SOATA","15-753","6.33365418585","-72.6833174046"
