"SEDE_NOMBRE_MAT","FACULTAD","PROGRAMA","NIVEL","n"
"Bogota","Medicina Veterinaria Y De Zootecnia","Salud Y Produccion Animal","Maestria",76
"Bogota","Medicina Veterinaria Y De Zootecnia","Salud Animal O Produccion Animal","Maestria",37
"Bogota","Medicina Veterinaria Y De Zootecnia","Medicina Veterinaria Y De Zootecnia","Maestria",11
"Bogota","Medicina Veterinaria Y De Zootecnia","Zootecnia","Pregrado",613
"Bogota","Medicina Veterinaria Y De Zootecnia","Medicina Veterinaria","Pregrado",583
"Bogota","Medicina Veterinaria Y De Zootecnia","Medicina Veterinaria Y De Zootecnia","Pregrado",96
"Bogota","Odontologia","Endodoncia","Especialidades Medicas",69
"Bogota","Odontologia","Periodoncia","Especialidades Medicas",60
"Bogota","Odontologia","Ortodoncia Y Ortopedia Maxilar","Especialidades Medicas",58
"Bogota","Odontologia","Rehabilitacion Oral","Especialidades Medicas",58
"Bogota","Odontologia","Estomatologia Pediatrica Y Ortopedia Maxilar","Especialidades Medicas",57
"Bogota","Odontologia","Cirugia Oral Y Maxilofacial","Especialidades Medicas",30
"Bogota","Odontologia","Odontologia","Especialidades Medicas",2
"Bogota","Odontologia","Operatoria Dental Estetica","Especializacion",105
"Bogota","Odontologia","Ortodoncia Y Ortopedia Maxilar","Especializacion",10
"Bogota","Odontologia","Estomatologia Pediatrica Y Ortopedia Maxilar","Especializacion",5
"Bogota","Odontologia","Rehabilitacion Oral","Especializacion",4
"Bogota","Odontologia","Cirugia Oral Y Maxilofacial","Especializacion",3
"Bogota","Odontologia","Odontologia","Maestria",22
"Bogota","Odontologia","Odontologia","Pregrado",850
"Caribe","Caribe","Biologia","Doctorado",3
"Caribe","Caribe","Estudios Del Caribe","Maestria",29
"Caribe","Caribe","Biologia","Maestria",21
"Manizales","Administracion","Gerencia Estrategica De Proyectos","Especializacion",739
"Manizales","Administracion","Finanzas Corporativas","Especializacion",253
"Manizales","Administracion","Alta Gerencia","Especializacion",212
"Manizales","Administracion","Gestion Cultural Con Enfasis En Planeacion Y Politicas Culturales","Especializacion",154
"Manizales","Administracion","Auditoria De Sistemas","Especializacion",87
"Manizales","Administracion","Administracion","Especializacion",48
"Manizales","Administracion","Gestion De Redes Y Datos","Especializacion",46
"Manizales","Administracion","Ingenieria Financiera","Especializacion",11
"Manizales","Administracion","Administracion","Maestria",322
"Manizales","Administracion","Administracion De Sistemas Informaticos","Maestria",10
"Manizales","Administracion","Administracion De Empresas (Diurno)","Pregrado",654
"Manizales","Administracion","Administracion De Sistemas Informaticos","Pregrado",474
"Manizales","Administracion","Administracion De Empresas (Nocturno)","Pregrado",410
"Manizales","Administracion","Administracion De Empresas","Pregrado",249
"Manizales","Administracion","Administracion","Pregrado",243
"Manizales","Administracion","Gestion Cultural Y Comunicativa","Pregrado",187
"Manizales","Ciencias Exactas Y Naturales","Estadistica","Especializacion",13
"Manizales","Ciencias Exactas Y Naturales","Enseñanza De Las Ciencias Exactas Y Naturales","Maestria",301
"Manizales","Ciencias Exactas Y Naturales","Fisica","Maestria",60
"Manizales","Ciencias Exactas Y Naturales","Matematica Aplicada","Maestria",49
"Manizales","Ciencias Exactas Y Naturales","Ciencias Exactas Y Naturales","Maestria",8
"Manizales","Ciencias Exactas Y Naturales","Matematica Aplicada - Convenio U Sucre","Maestria",1
"Manizales","Ciencias Exactas Y Naturales","Ingenieria Fisica","Pregrado",220
"Manizales","Ciencias Exactas Y Naturales","Matematicas","Pregrado",85
