"YEAR","LON_CIU_NAC","LAT_CIU_NAC","DEP_NAC","CIU_NAC","n"
2009,"-75708330776","611188033761","ANTIOQUIA","Angelopolis",1
2009,"-757155099202","480888773215","RISARALDA","Pereira",32
2009,"-757309367872","534114674188","RISARALDA","Quinchia",2
2009,"-75745937366","650313220449","ANTIOQUIA","Sopetran",2
2009,"-757496020650797","62144824592065","ANTIOQUIA","Heliconia",1
2009,"-757508086191","45629703568","QUINDIO","Montenegro",1
2009,"-757590386418","202297348548","ANTIOQUIA","Guadalupe",2
2009,"-7576416656","717162301036","ANTIOQUIA","Ituango",1
2009,"-757647999637893","57697584791988","ANTIOQUIA","Jerico",2
2009,"-757706314648","515940031424","CALDAS","Risaralda",4
2009,"-757839965823","523807382965","CALDAS","Anserma",5
2009,"-757886555897","206340890548","HUILA","Altamira",1
2009,"-757918818626","888666155327","CORDOBA","Cerete",4
2009,"-757947081203","606294586497","ANTIOQUIA","Titiribi",1
2009,"-757964483643","531491484847","RISARALDA","Guatica",2
2009,"-758038072984","499517768145","CALDAS","Belalcazar",2
2009,"-758066454098","910501029486","CORDOBA","Lorica",2
2009,"-758293466882","692583427774","ANTIOQUIA","Peque",1
2009,"-758365343901","434062227774","VALLE DEL CAUCA","Caicedonia",1
2009,"-75879251019","565688469544","ANTIOQUIA","Andes",4
2009,"-758911122161","238932771847","HUILA","La plata",3
2009,"-75911513294","473852191576","VALLE DEL CAUCA","Cartago",11
2009,"-759311573268","426719134689","VALLE DEL CAUCA","Sevilla",4
2009,"-759497722759","667830122959","ANTIOQUIA","Giraldo",1
2009,"-759754359618","596116241719","ANTIOQUIA","Salgar",3
2009,"-759841907479","610909980708","ANTIOQUIA","Betulia",2
2009,"-76.229433837000002","3.9941572444900002","SUCRE","San pedro",1
2009,"-76.298934040999995","3.9014010272699999","VALLE DEL CAUCA","Buga",4
2009,"-76.398170550900005","2.5111976273700001","CAUCA","Totoro",1
2009,"-76.408032193400004","0.96389688105100002","PUTUMAYO","Puerto guzman",1
2009,"-76.408484603999995","3.0331583626800001","CAUCA","Caloto",3
2009,"-76.415960274","5.4117154208900002","CHOCO","Bagado",1
2009,"-76.426680404799995","8.8500062659599994","ANTIOQUIA","Arboletes",3
